name,batch,one_liner,website,slug,industries,tags,team_size,all_locations,status,stage,agent_type,ai_vertical,ai_tech_strength,ai_confidence,ai_reasoning,long_description
Outrove,Summer 2025,Ultra-realistic AI Recruiter,https://www.outrove.ai/,outrove,B2B; Recruiting and Talent,Recruiting; AI,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,HR & Recruiting,Vertical Agent Product,0.95,"Outrove is an ultra-realistic AI recruiter agent that autonomously conducts interviews, a single-purpose agent product.","Outrove is the world’s most realistic AI recruiter, with a human-appearing interview agent that has both video and audio and can join Google Meet calls.
"
PARES AI,Summer 2025,AI-native real estate services firm,https://www.pares.ai/,pares-ai,Real Estate and Construction,Artificial Intelligence; Real Estate; Proptech; Conversational AI,3,"Los Angeles, CA, USA",Active,Early,Single-Purpose Agent,Real Estate,Vertical Agent Product,0.9,PARES AI provides AI-native real estate brokerage and property management agents automating various real estate tasks.,"PARES is an AI-native real estate services firm, providing investment sales brokerage and property management to institutional and middle-market property owners and investors across the country. 

Real estate is an extremely labor-intensive business, often requiring scaling headcount to grow, being extremely local to submarkets, and operating on low margins. With AI, these services can be centralized and delivered better, faster, and at a fraction of the cost.

AI-native brokerage:
- Prospecting sellers through automated inbound and outbound outreach
- Underwriting deals and producing marketing materials with speed and precision
- Surfacing hidden buyers, running the marketing process, and negotiating contracts
- Handling all back-office, accounting, and additional support

AI-native property management: 
- Communicating with tenants and vendors around the clock
- Screening leasing prospects, sending applications, and drafting leases
- Collecting rents, making payments, and chasing delinquencies
- Running accounting, payroll, and owner reporting

Check us out at https://www.pares.ai/"
Pally,Summer 2025,Intelligent Unified Inbox + Personal CRM,https://pally.com,pally,B2B; Productivity,Artificial Intelligence; Consumer; B2B; Productivity; Search,3,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,General Purpose / Horizontal,Vertical Agent Product,0.9,"Pally offers AI agents that automatically complete action items across messaging platforms, a single-purpose productivity agent.","We spend our lives in messaging apps. Slack. iMessage. WhatsApp. We face a constant stream of information, introductions, and things we need to do.

What if you could bring together every message, from every platform, in a Superhuman-like experience, with AI agents that automatically complete your action items?

That’s exactly what we’re building at Pally; a future where you never need to check another inbox again. "
Perspectives Health,Summer 2025,Automating away admin for behavioral health clinics,https://perspectiveshealth.ai/,perspectives-health,Healthcare; Healthcare IT,Workflow Automation; Healthcare; Mental Health; Healthcare IT,5,"Chicago, IL, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.9,"Perspectives Health builds AI agents that automate administrative tasks specifically for behavioral health clinics, a vertical single-purpose agent product.","America is facing an addiction and mental health crisis. We're building a suite of AI agents to automate away the tasks that occupy half of the time and resources of behavioral health clinics—documentation, compliance, audits, utilization review, and more."
Phases,Summer 2025,Automated clinical trial oversight and execution,https://phases.ai,phases,Healthcare; Healthcare IT,Healthcare IT; AI; Conversational AI,3,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.95,"Phases deploys AI agents to autonomously oversee clinical trials, clearly a vertical single-purpose agent product.","Phases deploys AI agents to oversee clinical trials, improving operational performance, data quality, and audit readiness by identifying risks and taking actions autonomously to solve issues."
Playgent,Summer 2025,Sandboxes for AI agents,https://useplaygent.com,playgent,Healthcare; Healthcare IT,SaaS; Infrastructure; AI,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,Healthcare,Agent Orchestration,0.9,"Playgent provides sandbox infrastructure to test and reproduce AI agent failures, enabling agent development and orchestration.","When enterprise agents fail in production, the conditions that caused the failure are critical: user state, data, tool calls, and context. Without a way to recreate these conditions, teams can't fix what broke.

Playgent provides infrastructure to create high-fidelity sandbox environments for AI agents. Our environments come packaged as a single MCP url where tool calls are mocked, authentication is abstracted away, and test data can be initialized via natural language or JSON specifications.

Teams can use Playgent to reproduce production failures in safe, scoped environments that accurately reconstruct state. Finally, export runs as OTel traces from Playgent's environment to plug directly into your observability tools or RL pipelines."
Preseen,Summer 2025,The AI forecasting company for global macro events. ,https://preseen.com,preseen,B2B; Analytics,,1,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Finance and Accounting,Vertical Agent Product,0.85,"Preseen builds forecasting AI agents for global macro events, a vertical single-purpose agent product.",We build forecasting agents for global macro events. 
ProcIndex,Summer 2025,AI Agents for Accounting Operations,https://procindex.com/,procindex,B2B; Finance and Accounting,Artificial Intelligence; Fintech; Finance; B2B,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Finance and Accounting,Vertical Agent Product,0.95,"ProcIndex offers a suite of AI agents automating accounting operations, a vertical single-purpose agent product.","ProcIndex is a full stack AI accounting firm, with a suite of agents to automate quote to cash, accounts payable and month end close processes end to end.

ProcIndex connects with your existing ERP, operates in the background while giving you full visibility into the agent actions and powers accounting teams to become 33% more efficient."
Proliferate,Summer 2025,Manage a team of agents from your desktop,https://proliferate.com?utm_source=yc&utm_medium=referral&utm_campaign=profile,proliferate,"B2B; Engineering, Product and Design",Developer Tools; SaaS; B2B; AI,,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Orchestration,0.9,"Proliferate provides an open-source platform to manage fleets of AI agents, enabling agent orchestration.",Manage a fleet of agents locally or in the cloud. 100% open source and free to use. Built to help you do your life's work.
Quotain,Summer 2025,AI sales simulations using your real deals,https://quotain.com,quotain,B2B; Sales,Sales; Sales Enablement; AI,2,"New York, NY, USA",Active,Early,Single-Purpose Agent,Sales & Marketing,Vertical Agent Product,0.9,"Quotain builds AI sales simulation agents for sales teams, a vertical single-purpose agent product.","Quotain helps sales teams practice the calls they actually need to win. Reps upload or connect CRM notes, past calls, LinkedIn profiles, and company websites, then Quotain creates realistic AI buyers they can speak with before the real meeting. After each practice call, Quotain scores the rep and shows exactly what to improve."
